,ADWIN,CUSUM,DDM,GeometricMovingAverage,HDDMAverage,HDDMWeighted,Ground-truth
756,0.0,0.0,0.0,0.0,0.0,1.0,0.0
836,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2454,0.0,0.0,1.0,0.0,0.0,2.0,0.0
6122,0.0,0.0,1.0,0.0,1.0,2.0,0.0
47806,0.0,2.0,1.0,0.0,1.0,2.0,0.0
101836,0.0,2.0,1.0,0.0,1.0,0.0,0.0
103053,0.0,2.0,1.0,0.0,1.0,1.0,0.0
103454,0.0,2.0,0.0,0.0,1.0,1.0,0.0
107122,0.0,2.0,0.0,0.0,0.0,1.0,0.0
136833,0.0,2.0,0.0,0.0,0.0,2.0,0.0
148806,0.0,0.0,0.0,0.0,0.0,2.0,0.0
161162,0.0,0.0,0.0,0.0,1.0,2.0,0.0
201000,0.0,0.0,0.0,0.0,1.0,2.0,1.0
201535,2.0,0.0,0.0,0.0,1.0,2.0,1.0
201724,2.0,0.0,0.0,0.0,2.0,2.0,1.0
201931,2.0,2.0,0.0,0.0,2.0,2.0,1.0
203014,2.0,2.0,1.0,0.0,2.0,2.0,1.0
204651,2.0,2.0,2.0,0.0,2.0,2.0,1.0
237833,2.0,2.0,2.0,0.0,2.0,0.0,1.0
238478,2.0,2.0,2.0,0.0,2.0,1.0,1.0
239968,2.0,2.0,2.0,0.0,2.0,2.0,1.0
302000,2.0,2.0,2.0,0.0,2.0,2.0,0.0
302535,0.0,2.0,2.0,0.0,2.0,2.0,0.0
302724,0.0,2.0,2.0,0.0,0.0,2.0,0.0
302931,0.0,0.0,2.0,0.0,0.0,2.0,0.0
304819,0.0,0.0,2.0,0.0,1.0,2.0,0.0
305651,0.0,0.0,0.0,0.0,1.0,2.0,0.0
340968,0.0,0.0,0.0,0.0,1.0,0.0,0.0
343694,0.0,0.0,0.0,0.0,1.0,1.0,0.0
343860,0.0,0.0,0.0,0.0,1.0,2.0,0.0
378046,0.0,0.0,0.0,0.0,2.0,2.0,0.0
403000,0.0,0.0,0.0,0.0,2.0,2.0,1.0
