,ADWIN,CUSUM,DDM,GeometricMovingAverage,HDDMAverage,HDDMWeighted,Ground-truth
96,0.0,0.0,1.0,0.0,0.0,0.0,0.0
120,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1620,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2963,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3445,0.0,0.0,2.0,0.0,0.0,0.0,1.0
3500,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5427,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6052,0.0,0.0,2.0,0.0,0.0,0.0,1.0
6500,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8786,0.0,0.0,1.0,0.0,0.0,0.0,1.0
9305,0.0,0.0,2.0,0.0,0.0,0.0,1.0
9500,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11671,0.0,0.0,1.0,0.0,0.0,0.0,1.0
12024,0.0,0.0,2.0,0.0,0.0,0.0,1.0
12500,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14874,0.0,0.0,1.0,0.0,0.0,0.0,1.0
15500,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17000,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17874,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18900,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20000,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20400,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21349,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21500,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21663,2.0,0.0,1.0,0.0,0.0,0.0,0.0
21873,2.0,0.0,2.0,0.0,0.0,0.0,0.0
23000,2.0,0.0,2.0,0.0,0.0,0.0,1.0
23163,0.0,0.0,2.0,0.0,0.0,0.0,1.0
23373,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23678,0.0,0.0,1.0,0.0,0.0,0.0,1.0
23967,0.0,0.0,2.0,0.0,0.0,0.0,1.0
24223,2.0,0.0,2.0,0.0,0.0,0.0,1.0
24500,2.0,0.0,2.0,0.0,0.0,0.0,0.0
25467,2.0,0.0,0.0,0.0,0.0,0.0,0.0
25723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27242,0.0,0.0,1.0,0.0,0.0,0.0,1.0
27500,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27578,0.0,0.0,2.0,0.0,0.0,0.0,0.0
29000,0.0,0.0,2.0,0.0,0.0,0.0,1.0
29078,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29687,0.0,0.0,1.0,0.0,0.0,0.0,1.0
30031,0.0,0.0,2.0,0.0,0.0,0.0,1.0
30500,0.0,0.0,2.0,0.0,0.0,0.0,0.0
