,ADWIN,CUSUM,DDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
139,2.0,0.0,1.0,0.0,0.0,0.0,0.0
144,2.0,0.0,2.0,0.0,0.0,0.0,0.0
739,2.0,0.0,2.0,0.0,1.0,0.0,0.0
748,2.0,0.0,2.0,0.0,2.0,0.0,0.0
1640,0.0,0.0,2.0,0.0,2.0,0.0,0.0
1645,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2249,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2606,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2611,0.0,0.0,0.0,0.0,2.0,0.0,0.0
3851,2.0,0.0,0.0,0.0,2.0,0.0,0.0
4112,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4731,2.0,0.0,0.0,0.0,1.0,0.0,0.0
5352,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11243,2.0,0.0,0.0,0.0,0.0,0.0,0.0
11408,2.0,0.0,0.0,1.0,0.0,1.0,0.0
11409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11473,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12068,0.0,0.0,1.0,0.0,1.0,0.0,0.0
12072,0.0,0.0,1.0,0.0,2.0,0.0,0.0
12633,0.0,2.0,1.0,0.0,2.0,1.0,0.0
12634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12856,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14037,0.0,0.0,1.0,0.0,1.0,0.0,0.0
15163,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15492,0.0,0.0,0.0,0.0,2.0,0.0,0.0
16993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23353,2.0,0.0,0.0,0.0,0.0,0.0,0.0
23577,2.0,0.0,0.0,1.0,0.0,1.0,0.0
23578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23677,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23811,0.0,0.0,2.0,0.0,0.0,0.0,0.0
24209,0.0,0.0,2.0,0.0,1.0,0.0,0.0
24226,0.0,0.0,2.0,0.0,2.0,0.0,0.0
24287,0.0,0.0,2.0,1.0,2.0,0.0,0.0
25309,0.0,2.0,2.0,1.0,2.0,1.0,0.0
25310,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25525,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26163,0.0,0.0,1.0,1.0,0.0,0.0,0.0
26475,0.0,0.0,1.0,1.0,1.0,0.0,0.0
