,ADWIN,CUSUM,DDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
7,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,0.0,0.0,1.0,1.0,0.0,0.0,0.0
9,0.0,0.0,1.0,2.0,0.0,1.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1612,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3395,0.0,0.0,0.0,0.0,2.0,0.0,0.0
5918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6369,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11151,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11360,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11361,0.0,0.0,0.0,1.0,2.0,0.0,0.0
11396,0.0,0.0,0.0,2.0,2.0,1.0,0.0
11397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11605,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11768,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11777,0.0,0.0,1.0,0.0,2.0,0.0,0.0
12003,0.0,0.0,1.0,1.0,2.0,0.0,0.0
12065,0.0,0.0,2.0,1.0,2.0,1.0,0.0
12066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12178,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12721,0.0,0.0,1.0,0.0,1.0,0.0,0.0
12737,0.0,0.0,1.0,0.0,2.0,0.0,0.0
13679,0.0,0.0,0.0,0.0,2.0,0.0,0.0
14386,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14981,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15049,0.0,0.0,0.0,0.0,2.0,0.0,0.0
15567,0.0,0.0,1.0,0.0,2.0,0.0,0.0
17942,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18760,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19448,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21327,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23000,0.0,0.0,0.0,0.0,1.0,0.0,1.0
23001,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23370,0.0,0.0,0.0,0.0,2.0,0.0,0.0
23575,0.0,0.0,0.0,1.0,2.0,0.0,0.0
23604,0.0,0.0,0.0,2.0,2.0,1.0,0.0
23605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23669,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23782,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23784,0.0,0.0,2.0,0.0,1.0,0.0,0.0
23787,0.0,0.0,2.0,0.0,2.0,0.0,0.0
24264,0.0,0.0,2.0,1.0,2.0,1.0,0.0
24265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24305,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24753,0.0,0.0,1.0,0.0,1.0,0.0,0.0
25118,0.0,0.0,1.0,0.0,2.0,0.0,0.0
25920,0.0,0.0,0.0,0.0,2.0,0.0,0.0
26619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28307,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28320,0.0,0.0,0.0,0.0,2.0,0.0,0.0
29821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34921,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35000,0.0,0.0,0.0,0.0,1.0,0.0,1.0
35001,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35422,0.0,0.0,0.0,1.0,1.0,0.0,0.0
35464,2.0,0.0,0.0,1.0,1.0,1.0,0.0
35465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35537,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35795,0.0,0.0,1.0,0.0,1.0,0.0,0.0
35901,0.0,0.0,1.0,1.0,1.0,0.0,0.0
35972,0.0,0.0,1.0,2.0,1.0,1.0,0.0
35973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36319,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36344,0.0,0.0,1.0,0.0,1.0,0.0,0.0
36839,0.0,0.0,1.0,0.0,2.0,0.0,0.0
38503,0.0,0.0,0.0,0.0,2.0,0.0,0.0
39743,0.0,0.0,0.0,1.0,2.0,0.0,0.0
40325,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47394,0.0,0.0,0.0,0.0,1.0,0.0,0.0
47396,0.0,0.0,0.0,0.0,2.0,0.0,0.0
47492,2.0,0.0,0.0,0.0,2.0,1.0,0.0
47493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47670,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47768,0.0,0.0,1.0,0.0,1.0,0.0,0.0
47770,0.0,0.0,1.0,0.0,2.0,0.0,0.0
47951,0.0,0.0,1.0,1.0,2.0,0.0,0.0
48042,0.0,0.0,2.0,1.0,2.0,1.0,0.0
48043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48104,0.0,0.0,1.0,0.0,0.0,0.0,0.0
