,ADWIN,CUSUM,DDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
29,0.0,2.0,1.0,0.0,2.0,1.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,0.0,0.0,1.0,0.0,0.0,0.0,0.0
407,0.0,0.0,1.0,0.0,1.0,0.0,0.0
410,0.0,0.0,1.0,1.0,1.0,0.0,0.0
421,0.0,0.0,1.0,2.0,1.0,0.0,0.0
422,0.0,0.0,1.0,2.0,2.0,0.0,0.0
922,0.0,0.0,1.0,0.0,2.0,0.0,0.0
923,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4842,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4886,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5477,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6546,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7275,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8040,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8361,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8862,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10237,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11447,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12014,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12041,0.0,0.0,0.0,1.0,1.0,0.0,0.0
12042,0.0,0.0,0.0,1.0,2.0,0.0,0.0
12236,0.0,2.0,0.0,1.0,2.0,1.0,0.0
12237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12373,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15444,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18343,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19601,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20000,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20001,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20854,0.0,0.0,1.0,0.0,1.0,0.0,0.0
21003,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21627,0.0,2.0,1.0,0.0,0.0,0.0,0.0
21711,0.0,2.0,1.0,1.0,0.0,0.0,0.0
22128,0.0,0.0,1.0,1.0,0.0,0.0,0.0
22136,0.0,0.0,1.0,2.0,0.0,0.0,0.0
22156,2.0,0.0,1.0,2.0,0.0,1.0,0.0
22157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22554,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23832,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23836,0.0,0.0,0.0,0.0,2.0,0.0,0.0
24337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28444,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30422,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30425,0.0,0.0,0.0,0.0,2.0,0.0,0.0
30926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31037,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31066,0.0,0.0,1.0,0.0,1.0,0.0,0.0
31247,0.0,0.0,1.0,1.0,1.0,0.0,0.0
31471,0.0,2.0,1.0,1.0,1.0,1.0,0.0
31472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31555,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33140,0.0,0.0,1.0,0.0,1.0,0.0,0.0
33654,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34123,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34128,0.0,0.0,1.0,0.0,1.0,0.0,0.0
34567,0.0,0.0,1.0,0.0,2.0,0.0,0.0
35068,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35940,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40179,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40320,0.0,0.0,0.0,1.0,1.0,0.0,0.0
40402,0.0,0.0,0.0,2.0,1.0,0.0,0.0
40431,2.0,0.0,0.0,2.0,1.0,1.0,0.0
40432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40518,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41619,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42229,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43543,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44165,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44976,0.0,0.0,1.0,0.0,1.0,0.0,0.0
45262,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45533,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47889,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48390,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50345,0.0,0.0,0.0,0.0,1.0,0.0,0.0
50349,0.0,0.0,0.0,0.0,2.0,0.0,0.0
51121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51533,0.0,0.0,0.0,1.0,0.0,0.0,0.0
51616,0.0,0.0,1.0,1.0,0.0,0.0,0.0
51845,0.0,0.0,1.0,2.0,0.0,0.0,0.0
51867,0.0,2.0,1.0,2.0,0.0,0.0,0.0
51868,0.0,2.0,1.0,2.0,1.0,1.0,0.0
51869,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52438,0.0,0.0,1.0,0.0,0.0,0.0,0.0
53621,0.0,0.0,1.0,0.0,1.0,0.0,0.0
53622,0.0,0.0,1.0,1.0,1.0,0.0,0.0
53623,0.0,0.0,1.0,1.0,2.0,0.0,0.0
54136,0.0,0.0,1.0,0.0,2.0,0.0,0.0
54582,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54906,0.0,0.0,1.0,0.0,1.0,0.0,0.0
54908,0.0,0.0,1.0,0.0,2.0,0.0,0.0
55409,0.0,0.0,1.0,0.0,0.0,0.0,0.0
55794,0.0,0.0,1.0,0.0,1.0,0.0,0.0
55876,0.0,0.0,0.0,0.0,1.0,0.0,0.0
56305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57411,0.0,0.0,0.0,0.0,1.0,0.0,0.0
57694,0.0,0.0,0.0,0.0,2.0,0.0,0.0
58195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59263,0.0,0.0,0.0,0.0,1.0,0.0,0.0
59380,0.0,0.0,0.0,0.0,2.0,0.0,0.0
59881,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60752,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61277,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61291,0.0,0.0,0.0,0.0,2.0,0.0,0.0
61792,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62169,0.0,2.0,0.0,0.0,0.0,0.0,0.0
62670,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63128,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64016,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64478,0.0,0.0,0.0,0.0,2.0,0.0,0.0
64979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66019,0.0,0.0,0.0,1.0,0.0,0.0,0.0
66520,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67603,0.0,0.0,0.0,0.0,1.0,0.0,0.0
68104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70149,0.0,0.0,0.0,0.0,1.0,0.0,0.0
70150,0.0,0.0,0.0,0.0,2.0,0.0,0.0
70212,0.0,0.0,0.0,1.0,2.0,0.0,0.0
70651,0.0,0.0,0.0,1.0,0.0,0.0,0.0
70832,0.0,0.0,0.0,1.0,1.0,0.0,0.0
70838,0.0,0.0,0.0,1.0,2.0,0.0,0.0
70902,0.0,0.0,0.0,2.0,2.0,0.0,0.0
70908,2.0,0.0,0.0,2.0,2.0,1.0,0.0
70909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70942,0.0,0.0,1.0,0.0,0.0,0.0,0.0
72481,0.0,0.0,1.0,0.0,1.0,0.0,0.0
73385,0.0,0.0,1.0,0.0,0.0,0.0,0.0
73449,0.0,0.0,1.0,0.0,1.0,0.0,0.0
73950,0.0,0.0,1.0,0.0,0.0,0.0,0.0
74956,0.0,0.0,1.0,0.0,1.0,0.0,0.0
75459,0.0,0.0,1.0,0.0,0.0,0.0,0.0
76166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76928,0.0,0.0,0.0,0.0,1.0,0.0,0.0
77479,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78110,0.0,0.0,0.0,0.0,1.0,0.0,0.0
78117,0.0,0.0,0.0,0.0,2.0,0.0,0.0
78618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
80001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81081,0.0,0.0,0.0,0.0,1.0,0.0,0.0
81591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81631,0.0,0.0,0.0,0.0,1.0,0.0,0.0
81645,0.0,0.0,0.0,0.0,2.0,0.0,0.0
81820,0.0,2.0,0.0,0.0,2.0,1.0,0.0
81821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84993,0.0,0.0,0.0,0.0,1.0,0.0,0.0
85494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85766,0.0,0.0,0.0,0.0,1.0,0.0,0.0
86269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90505,0.0,0.0,0.0,0.0,1.0,0.0,0.0
90634,0.0,0.0,1.0,0.0,1.0,0.0,0.0
90755,0.0,0.0,1.0,1.0,1.0,0.0,0.0
90863,0.0,2.0,1.0,1.0,1.0,1.0,0.0
90864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90909,0.0,0.0,1.0,0.0,0.0,0.0,0.0
91473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94166,0.0,0.0,0.0,0.0,1.0,0.0,0.0
94279,0.0,0.0,0.0,0.0,2.0,0.0,0.0
94780,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95957,0.0,0.0,0.0,0.0,1.0,0.0,0.0
96458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97538,0.0,0.0,0.0,0.0,1.0,0.0,0.0
98049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98577,0.0,0.0,0.0,0.0,1.0,0.0,0.0
99078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100185,0.0,0.0,0.0,0.0,1.0,0.0,0.0
100445,0.0,0.0,0.0,1.0,1.0,0.0,0.0
100446,0.0,0.0,0.0,1.0,2.0,0.0,0.0
100947,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100985,0.0,0.0,1.0,1.0,0.0,0.0,0.0
101623,0.0,2.0,1.0,1.0,0.0,0.0,0.0
101988,0.0,2.0,1.0,1.0,1.0,1.0,0.0
101989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102100,0.0,0.0,1.0,0.0,0.0,0.0,0.0
102444,0.0,0.0,1.0,0.0,1.0,0.0,0.0
103112,0.0,0.0,1.0,0.0,0.0,0.0,0.0
103318,0.0,0.0,1.0,0.0,1.0,0.0,0.0
103825,0.0,0.0,1.0,0.0,0.0,0.0,0.0
103832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104478,0.0,0.0,0.0,0.0,1.0,0.0,0.0
104945,0.0,0.0,1.0,0.0,1.0,0.0,0.0
105450,0.0,0.0,1.0,0.0,0.0,0.0,0.0
105504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107680,0.0,0.0,0.0,0.0,1.0,0.0,0.0
107935,0.0,0.0,0.0,1.0,1.0,0.0,0.0
108181,0.0,0.0,0.0,1.0,0.0,0.0,0.0
108438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
110001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110048,0.0,0.0,0.0,0.0,1.0,0.0,0.0
110173,0.0,0.0,0.0,0.0,2.0,0.0,0.0
110577,0.0,0.0,1.0,1.0,2.0,0.0,0.0
110674,0.0,0.0,1.0,1.0,0.0,0.0,0.0
110796,0.0,0.0,1.0,2.0,0.0,0.0,0.0
110817,0.0,2.0,1.0,2.0,0.0,0.0,0.0
110820,2.0,2.0,1.0,2.0,0.0,1.0,0.0
110821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110896,0.0,0.0,1.0,0.0,0.0,0.0,0.0
111799,0.0,0.0,1.0,0.0,1.0,0.0,0.0
111987,0.0,0.0,1.0,1.0,1.0,0.0,0.0
111988,0.0,0.0,1.0,2.0,1.0,0.0,0.0
112300,0.0,0.0,1.0,2.0,0.0,0.0,0.0
112489,0.0,0.0,1.0,0.0,0.0,0.0,0.0
114249,0.0,0.0,1.0,0.0,1.0,0.0,0.0
