,ADWIN,CUSUM,DDM,GeometricMovingAverage,HDDMAverage,HDDMWeighted,Ground-truth
41,0.0,0.0,1.0,0.0,0.0,0.0,0.0
197,0.0,0.0,1.0,0.0,0.0,1.0,0.0
541,0.0,0.0,0.0,0.0,0.0,1.0,0.0
697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1611,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2780,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2787,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2791,0.0,0.0,0.0,0.0,1.0,2.0,0.0
3287,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3457,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3794,0.0,0.0,0.0,0.0,0.0,2.0,0.0
4294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4368,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4370,0.0,0.0,0.0,0.0,0.0,2.0,0.0
4870,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5176,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6314,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6791,0.0,0.0,0.0,0.0,0.0,2.0,0.0
7291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7802,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8400,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8860,0.0,0.0,0.0,0.0,0.0,2.0,0.0
9360,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13530,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17558,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20156,0.0,0.0,0.0,0.0,0.0,1.0,1.0
20165,0.0,0.0,0.0,0.0,0.0,2.0,1.0
20382,0.0,0.0,0.0,0.0,1.0,2.0,1.0
20415,2.0,0.0,0.0,0.0,1.0,2.0,1.0
20433,2.0,0.0,0.0,0.0,2.0,2.0,1.0
20600,2.0,0.0,0.0,0.0,2.0,2.0,0.0
20665,2.0,0.0,0.0,0.0,2.0,0.0,0.0
20915,0.0,0.0,0.0,0.0,2.0,0.0,0.0
20933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21154,0.0,2.0,0.0,0.0,0.0,0.0,0.0
21194,0.0,2.0,0.0,0.0,0.0,1.0,0.0
21215,2.0,2.0,0.0,0.0,0.0,1.0,0.0
21269,2.0,2.0,1.0,0.0,0.0,1.0,0.0
21654,2.0,0.0,1.0,0.0,0.0,1.0,0.0
21694,2.0,0.0,1.0,0.0,0.0,0.0,0.0
21715,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21796,0.0,0.0,1.0,0.0,0.0,1.0,0.0
22296,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22541,0.0,0.0,2.0,0.0,0.0,0.0,0.0
22760,0.0,0.0,2.0,0.0,0.0,1.0,0.0
23041,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23260,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23577,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24077,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24106,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24144,0.0,0.0,0.0,0.0,0.0,2.0,0.0
24145,0.0,0.0,1.0,0.0,0.0,2.0,0.0
24644,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25928,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27279,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28013,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29228,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29279,0.0,0.0,0.0,0.0,0.0,2.0,0.0
29779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31472,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31698,0.0,0.0,0.0,0.0,2.0,1.0,0.0
31700,0.0,0.0,0.0,0.0,2.0,2.0,0.0
32198,0.0,0.0,0.0,0.0,0.0,2.0,0.0
32200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40300,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40417,0.0,0.0,0.0,0.0,0.0,1.0,1.0
40485,0.0,0.0,0.0,0.0,1.0,1.0,1.0
40487,0.0,0.0,0.0,0.0,1.0,2.0,1.0
40494,0.0,0.0,0.0,0.0,2.0,2.0,1.0
40671,2.0,0.0,0.0,0.0,2.0,2.0,1.0
40800,2.0,0.0,0.0,0.0,2.0,2.0,0.0
40987,2.0,0.0,0.0,0.0,2.0,0.0,0.0
40994,2.0,0.0,0.0,0.0,0.0,0.0,0.0
41115,2.0,2.0,0.0,0.0,0.0,0.0,0.0
41171,0.0,2.0,0.0,0.0,0.0,0.0,0.0
41192,0.0,2.0,1.0,0.0,0.0,0.0,0.0
41615,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41650,0.0,0.0,1.0,0.0,0.0,1.0,0.0
42150,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42284,0.0,0.0,2.0,0.0,0.0,0.0,0.0
42300,0.0,0.0,2.0,0.0,0.0,1.0,0.0
42784,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44222,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44525,0.0,0.0,0.0,0.0,1.0,1.0,0.0
44722,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45585,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45736,0.0,0.0,0.0,0.0,0.0,2.0,0.0
45794,0.0,0.0,0.0,0.0,1.0,2.0,0.0
45822,0.0,0.0,1.0,0.0,1.0,2.0,0.0
46236,0.0,0.0,1.0,0.0,1.0,0.0,0.0
46237,0.0,0.0,1.0,0.0,1.0,1.0,0.0
46294,0.0,0.0,1.0,0.0,0.0,1.0,0.0
46322,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46561,0.0,0.0,1.0,0.0,0.0,1.0,0.0
46737,0.0,0.0,1.0,0.0,0.0,0.0,0.0
