,ADWIN,CUSUM,DDM,GeometricMovingAverage,HDDMAverage,HDDMWeighted,Ground-truth
38,0.0,0.0,1.0,0.0,0.0,0.0,0.0
51,0.0,0.0,2.0,0.0,0.0,0.0,0.0
232,0.0,0.0,2.0,0.0,1.0,0.0,0.0
551,0.0,0.0,1.0,0.0,1.0,0.0,0.0
732,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1051,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1064,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1167,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1500,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2064,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2104,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2107,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2214,0.0,0.0,1.0,0.0,0.0,2.0,1.0
2500,0.0,0.0,1.0,0.0,0.0,2.0,0.0
2607,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3000,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3500,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4000,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4214,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4410,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4500,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4910,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5338,0.0,0.0,0.0,0.0,0.0,1.0,1.0
5500,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7235,0.0,0.0,0.0,0.0,0.0,1.0,1.0
7242,0.0,0.0,0.0,0.0,0.0,2.0,1.0
7396,0.0,0.0,0.0,0.0,1.0,2.0,1.0
7446,0.0,0.0,0.0,0.0,2.0,2.0,1.0
7500,0.0,0.0,0.0,0.0,2.0,2.0,0.0
7742,0.0,0.0,0.0,0.0,2.0,0.0,0.0
7946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8242,0.0,0.0,0.0,0.0,0.0,1.0,1.0
8500,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
