,ADWIN,CUSUM,DDM,GeometricMovingAverage,HDDMAverage,HDDMWeighted,Ground-truth
2000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2687,2.0,0.0,0.0,0.0,0.0,0.0,1.0
2730,2.0,0.0,0.0,0.0,1.0,0.0,1.0
2760,2.0,0.0,0.0,0.0,2.0,0.0,1.0
2762,2.0,0.0,0.0,0.0,2.0,1.0,1.0
2788,2.0,0.0,1.0,0.0,2.0,1.0,1.0
2944,2.0,0.0,2.0,0.0,2.0,1.0,1.0
2981,2.0,0.0,2.0,0.0,2.0,2.0,1.0
3054,2.0,2.0,2.0,0.0,2.0,2.0,1.0
3500,2.0,2.0,2.0,0.0,2.0,2.0,0.0
4187,0.0,2.0,2.0,0.0,2.0,2.0,0.0
4260,0.0,2.0,2.0,0.0,0.0,2.0,0.0
4444,0.0,2.0,0.0,0.0,0.0,2.0,0.0
4481,0.0,2.0,0.0,0.0,0.0,0.0,0.0
4554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
